"file","datetime_exif","species","n_individuals","det_conf"
"IMG_0001.JPG","2026:05:01 23:57:13","Sus scrofa",2,0.63
"IMG_0002.JPG","2026:05:01 23:57:43","Sus scrofa",2,0.89
"IMG_0003.JPG","2026:05:01 23:57:52","Sus scrofa",2,0.89
"IMG_0004.JPG","2026:05:02 00:26:27","Sus scrofa",1,0.67
"IMG_0005.JPG","2026:05:02 00:26:55","Sus scrofa",1,0.92
"IMG_0006.JPG","2026:05:02 00:27:39","Sus scrofa",1,0.84
"IMG_0007.JPG","2026:05:02 01:05:55","Sus scrofa",1,0.67
"IMG_0008.JPG","2026:05:02 11:10:00",,0,0.14
"IMG_0009.JPG","2026:05:02 22:42:40","Sus scrofa",1,0.73
"IMG_0010.JPG","2026:05:02 22:43:25","Sus scrofa",1,0.86
"IMG_0011.JPG","2026:05:02 22:43:30","Sus scrofa",1,0.93
"IMG_0012.JPG","2026:05:02 22:43:37","Sus scrofa",1,0.73
"IMG_0013.JPG","2026:05:03 15:24:32",,0,0.21
"IMG_0014.JPG","2026:05:03 15:48:00",,0,0.07
"IMG_0015.JPG","2026:05:03 20:45:33","Vulpes vulpes",2,0.6
"IMG_0016.JPG","2026:05:03 21:39:45","Vulpes vulpes",1,0.95
"IMG_0017.JPG","2026:05:03 21:40:18","Vulpes vulpes",1,0.96
"IMG_0018.JPG","2026:05:03 22:18:27","Capreolus capreolus",1,0.8
"IMG_0019.JPG","2026:05:04 05:28:53","Vulpes vulpes",2,0.94
"IMG_0020.JPG","2026:05:04 05:29:41","Vulpes vulpes",2,0.86
"IMG_0021.JPG","2026:05:04 19:45:07","Vulpes vulpes",1,0.48
"IMG_0022.JPG","2026:05:04 21:43:10","Capreolus capreolus",1,0.69
"IMG_0023.JPG","2000:01:01 13:38:27","Vulpes vulpes",1,0.72
"IMG_0024.JPG","2000:01:01 13:39:21","Vulpes vulpes",1,0.7
"IMG_0025.JPG","2000:01:01 13:39:51","Vulpes vulpes",1,0.65
"IMG_0026.JPG","2000:01:02 12:21:23","Sus scrofa",1,0.62
"IMG_0027.JPG","2000:01:03 06:20:09",,0,0.19
"IMG_0028.JPG","2000:01:03 19:01:31","Vulpes vulpes",1,0.67
"IMG_0029.JPG","2000:01:03 19:02:04","Vulpes vulpes",1,0.76
"IMG_0030.JPG","2000:01:03 19:40:54","Vulpes vulpes",2,0.84
"IMG_0031.JPG","2000:01:03 20:34:04","Meles meles",1,0.32
"IMG_0032.JPG","2000:01:04 03:17:33",,0,0.25
"IMG_0033.JPG","2000:01:04 17:09:52","Sus scrofa",2,0.89
"IMG_0034.JPG","2000:01:04 17:09:59","Sus scrofa",2,0.79
"IMG_0035.JPG","2000:01:04 20:00:31",,0,0.05
"IMG_0036.JPG","2000:01:05 04:10:40",,0,0.31
"IMG_0037.JPG","2000:01:05 15:33:40",,0,0.34
"IMG_0038.JPG","2000:01:05 21:04:46",,0,0.16
"IMG_0039.JPG","2000:01:08 10:15:03","Capreolus capreolus",1,0.61
"IMG_0040.JPG","2000:01:08 10:15:56","Capreolus capreolus",1,0.92
"IMG_0041.JPG","2000:01:08 10:16:27","Capreolus capreolus",1,0.64
"IMG_0042.JPG","2000:01:08 10:16:33","Capreolus capreolus",1,0.68
"IMG_0043.JPG","2000:01:09 06:52:36",,0,0.04
"IMG_0044.JPG","2000:01:09 10:18:32","Vulpes vulpes",2,0.72
"IMG_0045.JPG","2000:01:09 10:19:16","Vulpes vulpes",2,0.93
"IMG_0046.JPG","2000:01:09 10:19:49","Vulpes vulpes",2,0.79
"IMG_0047.JPG","2000:01:09 10:20:02","Vulpes vulpes",2,0.69
"IMG_0048.JPG","2000:01:09 11:03:15","Vulpes vulpes",1,0.85
